PARAMETER,CHOICE #,CHOICE NAME,SETTING0,SETTING1,SETTING2,SETTING3,SETTING4,SETTING5,SETTING6,SETTING7,SETTING8,SETTING9,SETTING10
capture_mode,0,Window,CAPTURE_MODE=0,,,,,,,,,,
capture_mode,1,Ad hoc,CAPTURE_MODE=1,,,,,,,,,,
capture_qualification,0,Always,CAPTURE_QUALIFICATION=00,,,,,,,,,,
capture_qualification,1,Capture Condition,CAPTURE_QUALIFICATION=01,,,,,,,,,,
capture_qualification,2,State Machine,CAPTURE_QUALIFICATION=10,,,,,,,,,,
capture_ctrl_state,0,IDLE,CAPTURE_CTRL_STATE=00,,,,,,,,,,
capture_ctrl_state,1,PRE_TRIG,CAPTURE_CTRL_STATE=01,,,,,,,,,,
capture_ctrl_state,2,TRIG,CAPTURE_CTRL_STATE=10,,,,,,,,,,
capture_ctrl_state,3,POST_TRIG,CAPTURE_CTRL_STATE=11,,,,,,,,,,
