NAME,ADDRESS,SEQ,START,END,TYPE,READWRITE,DEFAULT,IS_REGISTER,GROUP
DRP.A_RXPHALIGNEN,7,0,14,14,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXPHALIGN,7,0,13,13,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_GTRESETSEL,7,0,12,12,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXOOBRESET,7,0,11,11,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXOUTCLKSEL,7,0,8,10,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXPMARESET,7,0,7,7,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXPOLARITY,7,0,6,6,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXPCSRESET,7,0,4,4,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXPRBSSEL,7,0,0,3,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_TXDLYBYPASS,8,0,15,15,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_TXDLYOVRDEN,8,0,14,14,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_TXPHDLYRESET,8,0,13,13,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_TXPHINIT,8,0,12,12,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_TXPHOVRDEN,8,0,11,11,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_TXPHDLYPD,8,0,10,10,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_TXDLYSRESET,8,0,9,9,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_TXINHIBIT,8,0,8,8,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXCDROVRDEN,8,0,6,6,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXLPMEN,8,0,5,5,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXDFEVSEN,8,0,4,4,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXMONITORSEL,8,0,2,3,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXPD,8,0,0,1,attr_hidden,rw,0,y,GTHE3_CHANNEL
