STAGE_NAME,STAGE,CODE,UNIT_1,WARNING
startup,0,1,na,RTL XSDB BRAM setting smaller than code computes range required.
Read Leveling,1,2,nibble,Small eye found with less than 30% valid window.
Read Leveling,1,3,nibble,Right edge of the window is set to the maximum tap count.
