NAME,ADDRESS,SEQ,START,END,TYPE,READWRITE,DEFAULT,IS_REGISTER,GROUP,DESCRIPTION
PORT.SDM0DATA,403,0,0,15,port,rw,0,y,,
PORT.SDM0DATA,404,1,0,8,port,rw,0,y,,
PORT.SDM1DATA,405,0,0,15,port,rw,0,y,,
PORT.SDM1DATA,406,1,0,8,port,rw,0,y,,
PORT.QPLL0REFCLKSEL,407,0,0,2,port,rw,C_QPLL0REFCLKSEL,y,,
PORT.QPLL1REFCLKSEL,407,0,3,5,port,rw,C_QPLL1REFCLKSEL,y,,
PORT.BGRCALOVRD,407,0,6,10,port,rw,5'h1F,y,,
PORT.QPLLRSVD2,407,0,11,15,port,rw,0,y,,
PORT.PMARSVD,408,0,0,7,port,rw,0,y,,
PORT.QPLL0FBCLKLOST,409,0,1,1,port,r,,y,,
PORT.QPLL0LOCK,409,0,2,2,port,r,,y,,
PORT.QPLL0REFCLKLOST,409,0,5,5,port,r,,y,,
PORT.QPLL1FBCLKLOST,409,0,6,6,port,r,,y,,
PORT.QPLL1LOCK,409,0,7,7,port,r,,y,,
PORT.QPLL1REFCLKLOST,409,0,10,10,port,r,,y,,
PORT.REFCLKOUTMONITOR,409,0,11,11,port,r,,y,,
PORT.SDM0TESTDATA,40A,0,0,14,port,r,,y,,
PORT.SDM1TESTDATA,40B,0,0,14,port,r,,y,,
PORT.PMARSVDOUT,40C,0,0,15,port,r,,y,,
PORT.SDM0FINALOUT,40D,0,0,3,port,r,,y,,
PORT.SDM1FINALOUT,40D,0,4,7,port,r,,y,,
PORT.QPLLDMONITOR,40D,0,8,15,port,r,,y,,
PORT.REFCLKOUTMONITOR0,40E,0,3,3,port,r,,y,,
PORT.REFCLKOUTMONITOR1,40E,0,4,4,port,r,,y,,
PORT.PMARSVDOUT0,40F,0,0,7,port,r,,y,,
PORT.PMARSVDOUT1,40F,0,8,15,port,r,,y,,
PORT.PMASCANOUT,410,0,0,7,port,r,,y,,
PORT.QPLLDMONITOR0,411,0,0,7,port,r,,y,,
PORT.QPLLDMONITOR1,411,0,8,15,port,r,,y,,
PORT.PMASCANENB,412,0,0,0,port,rw,1'b1,y,,
PORT.QDPMASCANMODEB,412,0,1,1,port,rw,1'b1,y,,
PORT.QDPMASCANRSTEN,412,0,2,2,port,rw,1'b1,y,,
PORT.PMARSVD0,413,0,0,7,port,rw,0,y,,
PORT.PMARSVD1,413,0,8,15,port,rw,0,y,,
PORT.PMASCANCLK,414,0,0,7,port,rw,0,y,,
PORT.PMASCANIN,414,0,8,15,port,rw,0,y,,
PORT.QPLL0CLKRSVD0,415,0,0,0,port,rw,0,y,,
PORT.QPLL0CLKRSVD1,415,0,1,1,port,rw,0,y,,
PORT.QPLL1CLKRSVD0,415,0,2,2,port,rw,0,y,,
PORT.QPLL1CLKRSVD1,415,0,3,3,port,rw,0,y,,
PORT.QPLLRSVD3,416,0,0,4,port,rw,0,y,,
PORT.QPLLRSVD4,416,0,5,12,port,rw,0,y,,
LOGIC.TX_BUFGGT_CLR_0,420,0,0,0,logic,rw,0,y,,
LOGIC.TX_BUFGGT_CLR_1,420,0,1,1,logic,rw,0,y,,
LOGIC.TX_BUFGGT_CLR_2,420,0,2,2,logic,rw,0,y,,
LOGIC.TX_BUFGGT_CLR_3,420,0,3,3,logic,rw,0,y,,
LOGIC.RX_BUFGGT_CLR_0,420,0,4,4,logic,rw,0,y,,
LOGIC.RX_BUFGGT_CLR_1,420,0,5,5,logic,rw,0,y,,
LOGIC.RX_BUFGGT_CLR_2,420,0,6,6,logic,rw,0,y,,
LOGIC.RX_BUFGGT_CLR_3,420,0,7,7,logic,rw,0,y,,
LOGIC.TX_BUFGGT_CE_0,420,0,8,8,logic,rw,1'b1,y,,
LOGIC.TX_BUFGGT_CE_1,420,0,9,9,logic,rw,1'b1,y,,
LOGIC.TX_BUFGGT_CE_2,420,0,10,10,logic,rw,1'b1,y,,
LOGIC.TX_BUFGGT_CE_3,420,0,11,11,logic,rw,1'b1,y,,
LOGIC.RX_BUFGGT_CE_0,420,0,12,12,logic,rw,1'b1,y,,
LOGIC.RX_BUFGGT_CE_1,420,0,13,13,logic,rw,1'b1,y,,
LOGIC.RX_BUFGGT_CE_2,420,0,14,14,logic,rw,1'b1,y,,
LOGIC.RX_BUFGGT_CE_3,420,0,15,15,logic,rw,1'b1,y,,
LOGIC.TX_BUFGGT0_DIV_0,421,0,0,2,logic,rw,0,y,,
LOGIC.TX_BUFGGT1_DIV_0,421,0,3,5,logic,rw,0,y,,
LOGIC.TX_BUFGGT0_DIV_1,421,0,6,8,logic,rw,0,y,,
LOGIC.TX_BUFGGT1_DIV_1,421,0,9,11,logic,rw,0,y,,
LOGIC.TX_BUFGGT0_DIV_2,422,0,0,2,logic,rw,0,y,,
LOGIC.TX_BUFGGT1_DIV_2,422,0,3,5,logic,rw,0,y,,
LOGIC.TX_BUFGGT0_DIV_3,422,0,6,8,logic,rw,0,y,,
LOGIC.TX_BUFGGT1_DIV_3,422,0,9,11,logic,rw,0,y,,
LOGIC.RX_BUFGGT0_DIV_0,423,0,0,2,logic,rw,0,y,,
LOGIC.RX_BUFGGT1_DIV_0,423,0,3,5,logic,rw,0,y,,
LOGIC.RX_BUFGGT0_DIV_1,423,0,6,8,logic,rw,0,y,,
LOGIC.RX_BUFGGT1_DIV_1,423,0,9,11,logic,rw,0,y,,
LOGIC.RX_BUFGGT0_DIV_2,424,0,0,2,logic,rw,0,y,,
LOGIC.RX_BUFGGT1_DIV_2,424,0,3,5,logic,rw,0,y,,
LOGIC.RX_BUFGGT0_DIV_3,424,0,6,8,logic,rw,0,y,,
LOGIC.RX_BUFGGT1_DIV_3,424,0,9,11,logic,rw,0,y,,
LOGIC.MB_RESET,425,0,0,0,logic,rw,0,y,,
LOGIC.MB_WAKEUP,425,0,1,2,logic,rw,0,y,,
LOGIC.MB_RSVD,426,0,0,15,logic,rw,0,y,,
LOGIC.MB_RSVD,427,1,0,15,logic,rw,0,y,,
LOGIC.MB_RSVD,428,2,0,15,logic,rw,0,y,,
LOGIC.MB_RSVD,429,3,0,15,logic,rw,0,y,,
LOGIC.MB_INSTMEM_UPDATE,42A,0,0,0,logic,rw,0,y,,
LOGIC.MB_INSTMEM_WR_EN,42A,0,1,1,logic,rw,0,y,,
LOGIC.MB_INSTMEM_ADDR_RST,42A,0,2,2,logic,rw,0,y,,
LOGIC.MB_INSTMEM_DATA,42B,0,0,15,logic,rw,0,y,,
LOGIC.MGT_COORDINATE,42C,0,0,15,status,r,,y,,
LOGIC.MGT_NUMBER,42D,0,0,15,status,r,,y,,
LOGIC.DEVICE_FAMILY,42E,0,0,15,status,r ,,y,,
LOGIC.DEVICE_TYPE,42F,0,0,15,status,r ,,y,,
LOGIC.DEVICE_PACKAGE,430,0,0,15,status,r ,,y,,
LOGIC.TEST_PRIM,431,0,0,0,status,r ,,y,,
