NAME,ADDRESS,SEQ,START,END,TYPE,READWRITE,DEFAULT,IS_REGISTER,CTL,STAT,CONST,SAMP_EN,RH,CPLX_LOCAL,GROUP
DRP.RSVD_ATTR0,42,0,0,15,attr,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.COMMON_CFG,43,0,0,15,attr,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.COMMON_CFG,44,1,0,15,attr,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.A_GTREFCLKPD1,46,0,0,0,attr_hidden,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.A_GTREFCLKPD0,46,0,1,1,attr_hidden,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.A_QPLLRESET,46,0,2,2,attr_hidden,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.A_QPLLPD,46,0,3,3,attr_hidden,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.A_QPLLLOCKEN,46,0,4,4,attr_hidden,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.A_QPLLOUTRESET,46,0,5,5,attr_hidden,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.A_BGPD,46,0,6,6,attr_hidden,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.A_BGMONITOREN,46,0,7,7,attr_hidden,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.AEN_RESET,47,0,0,0,attr_hidden,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.AEN_REFCLK,47,0,1,1,attr_hidden,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.AEN_QPLL,47,0,2,2,attr_hidden,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.AEN_PD,47,0,3,3,attr_hidden,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.AEN_MASTER,47,0,4,4,attr_hidden,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.AEN_BGBS,47,0,6,6,attr_hidden,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.QPLL_VTRL_RESET,47,0,10,11,attr,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.QPLL_RP_COMP,47,0,12,12,attr,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.RCAL_CFG,47,0,13,14,attr,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.COMMON_INSTANTIATED,47,0,15,15,attr_hidden,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
PORT.BGBYPASSB,200,0,0,0,port,rw,1'b1,y,1,0,0,0,0,0,GTHE2_COMMON
PORT.BGMONITORENB,200,0,1,1,port,rw,1'b1,y,1,0,0,0,0,0,GTHE2_COMMON
PORT.BGPDB,200,0,2,2,port,rw,1'b1,y,1,0,0,0,0,0,GTHE2_COMMON
PORT.QPLLLOCKEN,200,0,3,3,port,rw,1'b1,y,1,0,0,0,0,0,GTHE2_COMMON
PORT.QPLLOUTRESET,200,0,4,4,port,rw,0,y,1,0,0,0,0,0,GTHE2_COMMON
PORT.QPLLPD,200,0,5,5,port,rw,QPLLPD,y,1,0,0,0,0,0,GTHE2_COMMON
PORT.QPLLRESET,200,0,6,6,port,rw,0,y,1,0,0,0,0,0,GTHE2_COMMON
PORT.RCALENB,200,0,7,7,port,rw,0,y,1,0,0,0,0,0,GTHE2_COMMON
PORT.BGRCALOVRDENB,200,0,8,8,port,rw,1'b1,y,1,0,0,0,0,0,GTHE2_COMMON
PORT.QPLLRSVD1,201,0,0,15,port,rw,0,y,1,0,0,0,0,0,GTHE2_COMMON
PORT.QPLLREFCLKSEL,202,0,0,2,port,rw,QPLLREFCLKSEL,y,1,0,0,0,0,0,GTHE2_COMMON
PORT.BGRCALOVRD,202,0,3,7,port,rw,5'h1F,y,1,0,0,0,0,0,GTHE2_COMMON
PORT.QPLLRSVD2,202,0,8,12,port,rw,5'h1F,y,1,0,0,0,0,0,GTHE2_COMMON
PORT.PMARSVD,203,0,0,7,port,rw,0,y,1,0,0,0,0,0,GTHE2_COMMON
PORT.QPLLFBCLKLOST,204,0,0,0,port,r,,y,0,1,0,0,0,0,GTHE2_COMMON
PORT.QPLLLOCK,204,0,1,1,port,r,,y,0,1,0,0,0,0,GTHE2_COMMON
PORT.QPLLREFCLKLOST,204,0,2,2,port,r,,y,0,1,0,0,0,0,GTHE2_COMMON
PORT.REFCLKOUTMONITOR,204,0,3,3,port,r,,y,0,1,0,0,0,0,GTHE2_COMMON
PORT.QPLLDMONITOR,204,0,4,11,port,r,,y,0,1,0,0,0,0,GTHE2_COMMON
